Justice,Description,President,Trivial Facts, , , , ,,,,,,,,,,,,,,,,,
John Jay,"John Jay (Justice #1) was born in NY and served on the Supreme Court during the years 1789?1795
(5?6 years)",George Washington,,,,,,,,,,,,,,,,,,,,,,
John Rutledge,"John Rutledge (Justice #2) was born in SC and served on the Supreme Court during the years 1789?1791
(1?2 years)",George Washington,"Shortest term as chief justice: John Rutledge (4 months, 3 days chief justice)",,,,,,,,,,,,,,,,,,,,,
William Cushing,"William Cushing (Justice #3) was born in MA and served on the Supreme Court during the years 1789?1810
(20?21 years)",George Washington,,,,,,,,,,,,,,,,,,,,,,
James Wilson,"James Wilson (Justice #4) was born in PA and served on the Supreme Court during the years 1789?1798
(8?9 years)",George Washington,,,,,,,,,,,,,,,,,,,,,,
"John Blair, Jr.","John Blair, Jr. (Justice #5) was born in VA and served on the Supreme Court during the years 1789?1795
(5?6 years)",George Washington,,,,,,,,,,,,,,,,,,,,,,
James Iredell,"James Iredell (Justice #6) was born in NC and served on the Supreme Court during the years 1790?1799
(8?9 years)",George Washington,,,,,,,,,,,,,,,,,,,,,,
Thomas Johnson,"Thomas Johnson (Justice #7) was born in MD and served on the Supreme Court during the years 1792?1793
(0?1 years)",George Washington,"Shortest time in the court: Thomas Johnson (5 months, 10 days associate justice)",,,,,,,,,,,,,,,,,,,,,
William Paterson,"William Paterson (Justice #8) was born in NJ and served on the Supreme Court during the years 1793?1806
(12?13 years)",George Washington,,,,,,,,,,,,,,,,,,,,,,
John Rutledge,"John Rutledge (Justice #2) was born in SC and served on the Supreme Court during the years 1795?1795
(0 years)",George Washington,,,,,,,,,,,,,,,,,,,,,,
Samuel Chase,"Samuel Chase (Justice #9) was born in MD and served on the Supreme Court during the years 1796?1811
(14?15 years)",George Washington,,,,,,,,,,,,,,,,,,,,,,
Oliver Ellsworth¢Ó,"Oliver Ellsworth¢Ó (Justice #10) was born in CT and served on the Supreme Court during the years 1796?1800
(3?4 years)",George Washington,,,,,,,,,,,,,,,,,,,,,,
